location;date;trend;day;month
Spain;2020-04-05;#ParejasCarrusel;05;04
Spain;2020-04-05;Apoyaré a Sánchez;05;04
Spain;2020-04-05;#QuedOTEnCasa5A;05;04
Spain;2020-04-05;Domingo de Ramos;05;04
Spain;2020-04-05;#LosRenosDeChollometro;05;04
Spain;2020-04-15;#LaSemanaDeSanderson;15;04
Spain;2020-04-15;#StreamPartyLibertad;15;04
Spain;2020-04-15;#BarómetroCIS;15;04
Spain;2020-04-15;#QuedOTEnCasa15A;15;04
Spain;2020-04-15;#WallsOlympics;15;04
Spain;2020-04-15;#SorteoGamingEnCasa;15;04
Spain;2020-04-15;#InadinaAsk15A;15;04
Spain;2020-04-15;#encasaconcuatroaldía;15;04
Spain;2020-04-15;#PactosDeLaReconstrucción;15;04
Spain;2020-04-15;#aprobadogeneral;15;04
Spain;2020-04-15;#LennoxEnNetflix;15;04
Spain;2020-04-15;Fernando;15;04
Spain;2020-04-15;Spotify;15;04
Spain;2020-04-15;Merkel;15;04
Spain;2020-04-15;Sony;15;04
Spain;2020-04-15;Felipe González;15;04
Spain;2020-04-15;Zidane;15;04
Spain;2020-04-15;Iniesta;15;04
Spain;2020-04-15;Spiderman;15;04
Spain;2020-04-15;Corea del Norte;15;04
Spain;2020-04-15;Irene;15;04
Spain;2020-04-15;Benito;15;04
Spain;2020-04-15;Almeida;15;04
Spain;2020-04-15;Isabel;15;04
Spain;2020-04-15;CNMV;15;04
Spain;2020-04-15;twitter atleti;15;04
Spain;2020-04-15;Pilar Jurado;15;04
Spain;2020-04-15;El 2,7%;15;04
Spain;2020-04-15;Formación Profesional;15;04
Spain;2020-04-15;Tomorrowland;15;04
Spain;2020-04-15;Portugal;15;04
Spain;2020-04-15;Iglesias y Escrivá;15;04
Spain;2020-04-15;Guindos;15;04
Spain;2020-04-15;Noxus;15;04
Spain;2020-04-15;Fiscalía;15;04
Spain;2020-04-15;Bach;15;04
Spain;2020-04-15;Kiko;15;04
Spain;2020-04-15;Un 97,3%;15;04
Spain;2020-04-15;El Mobile;15;04
Spain;2020-04-15;ministra de educación;15;04
Spain;2020-04-15;#AnneLookinTwitter;15;04
Spain;2020-04-15;El CIS;15;04
Spain;2020-04-15;#RTXOn;15;04
Spain;2020-04-15;#MiPrincipioYMiFin;15;04
Spain;2020-04-15;Celaá;15;04
Spain;2020-04-15;Amazon Francia;15;04
Spain;2020-04-15;#banprestomola;15;04
Spain;2020-04-15;Tezanos;15;04
Spain;2020-04-15;iPhone;15;04
Spain;2020-04-15;#TardeOTempranoAG;15;04
Spain;2020-04-16;#imaginanoteneringobernable;16;04
Spain;2020-04-16;#IDareYou;16;04
Spain;2020-04-16;#luissepulveda;16;04
Spain;2020-04-16;#CartaMaitino;16;04
Spain;2020-04-16;#BloqueoNoSolidaridadSi;16;04
Spain;2020-04-16;#ComunidadTLL;16;04
Spain;2020-04-16;#edirecto;16;04
Spain;2020-04-16;#ArtistWheeinDay;16;04
Spain;2020-04-16;#SilenciaElPaís;16;04
Spain;2020-04-16;#lachicainvisiblemorenafilms;16;04
Spain;2020-04-16;#DiaMundialDelEmprendimiento;16;04
Spain;2020-04-16;#16Abril;16;04
Spain;2020-04-16;#SueñosDeConfinamiento;16;04
Spain;2020-04-16;#EA26QuédateEnCasa;16;04
Spain;2020-04-16;#RTVEadoctrina;16;04
Spain;2020-04-16;#LosMonosdelaUJA;16;04
Spain;2020-04-16;#AvesEnjauladas;16;04
Spain;2020-04-16;Phoebe;16;04
Spain;2020-04-16;Jason;16;04
Spain;2020-04-16;Skone;16;04
Spain;2020-04-16;Fabián;16;04
Spain;2020-04-16;'Público';16;04
Spain;2020-04-16;margarita de dinamarca;16;04
Spain;2020-04-16;Padilla;16;04
Spain;2020-04-16;Jump Force;16;04
Spain;2020-04-16;Antonio Naranjo;16;04
Spain;2020-04-16;Joshua;16;04
Spain;2020-04-16;Fran Rivera;16;04
Spain;2020-04-16;Carles Enric;16;04
Spain;2020-04-16;Guillermo;16;04
Spain;2020-04-16;yeonjun;16;04
Spain;2020-04-16;Murcia y País Vasco;16;04
Spain;2020-04-16;Coca-cola o Pepsi;16;04
Spain;2020-04-16;alfredo duro;16;04
Spain;2020-04-16;bartra;16;04
Spain;2020-04-16;Toni Acosta;16;04
Spain;2020-04-16;Golden Sun;16;04
Spain;2020-04-16;carti;16;04
Spain;2020-04-16;Antonio Montero;16;04
Spain;2020-04-16;Hytale;16;04
Spain;2020-04-16;Canarias y Baleares;16;04
Spain;2020-04-16;Involuntario;16;04
Spain;2020-04-16;Trueno;16;04
Spain;2020-04-16;Santiago Lanzuela;16;04
Spain;2020-04-16;#Confina2;16;04
Spain;2020-04-16;#WILDFLOWERMUSICVIDEO;16;04
Spain;2020-04-16;Fiscalía a Vox;16;04
Spain;2020-04-16;#MiXiaomiConPcComponentes;16;04
Spain;2020-04-16;#QuedOTEnCasa16A;16;04
Spain;2020-04-16;#DamePaguita;16;04
Spain;2020-04-17;#MonumentosYSitiosAND;17;04
Spain;2020-04-17;#ReactSummit;17;04
Spain;2020-04-17;#TodoEsMentira17A;17;04
Spain;2020-04-17;#BuenViernes;17;04
Spain;2020-04-17;#17Abril;17;04
