location;date;trend;day;month
Spain;2020-01-09;#FirstDates9E;09;01
Spain;2020-01-09;#PesadillaCantábrico;09;01
Spain;2020-01-09;Jordi Alba;09;01
Spain;2020-01-09;El VAR;09;01
Spain;2020-01-09;#LaTauromaquiaNoSeToca;09;01
Spain;2020-01-09;Supercopa;09;01
Spain;2020-01-09;Atlético;09;01
Spain;2020-01-09;Piqué;09;01
Spain;2020-01-09;Atleti;09;01
Spain;2020-01-09;Messi;09;01
Spain;2020-01-09;Valverde;09;01
Spain;2020-01-09;#LaIslaDeLasTentaciones1;09;01
Spain;2020-01-09;#season2020;09;01
Spain;2020-01-09;#Marchena;09;01
Spain;2020-01-09;#ProtocoloContaminacion;09;01
Spain;2020-01-09;#EsTiempoDeMujeres;09;01
Spain;2020-01-09;#RAREday;09;01
Spain;2020-01-09;#AlClímaxConPhoneHouse;09;01
